rank,want,price,title,risk,seller,area,publish_date,url
41,193,9.90,"Yolo部署RK3588软件开发 yolo部署瑞芯微RK3588开发板，手把手教你搞定！支持yolo模型训练，导出ONNX，量化转换为RKNN，可以在Python和C++中部署。多线程加速功能可选，还能增加计数功能。适合想要快速上手AI开发的朋友，包教包会哦！",🟠,无敌66666,上海,2025-11-13,https://www.goofish.com/item?id=992795063811
42,185,3,"picdoc科研AI绘图无限积分 支持各种图片生成 无限积分 1小时=3 2小时=5 5小时=9 1天=15 1月=50私聊 到时不下线  先给我发消息，直接拍不弹消息回复很慢 使用方式:扫码登我的号  苦逼研究生自用，挂上来回回血 绘图效果不保证，数据自己存档。 有什么不会的可以问我",🟠,灯小寒,黑龙江,2026-05-06,https://www.goofish.com/item?id=1049356289072
43,178,1.06,"医学细胞生物绘图AI素材DNA实验仪器3D设计矢量图标志图标 医学细胞生物绘图AI素材DNA实验仪器3D设计矢量图标志图标化学  全套生物医学科研绘图素材（PPT格式可编辑），涵盖各领域CNS级插图素材、科研插图素材、医学/科研ppt模板等，你想要的它都有！ 1、传染病学绘图素材 2、分子生物学图...",🟢,英华社收藏,广东,2025-01-25,https://www.goofish.com/item?id=882255860439
44,175,2.90,"即梦Seedance 2.0视频AI视频 AI视频代做 Ai动画生成 Aigc 视频制作，动画、写实、真人、科普、科技、历史、广告、对口型等，只要和ai视频相关内容均可做，24小时在线，可接急单！快速出片！。 需提供:故事剧情或文案，如果没有剧本也可以把想法告诉我们，我们可以帮您写剧本。 拍前先沟通，已经做了几百份了，认真负责质量放心！ 价格视视频时间长短和复杂度而定。 感兴趣的点我想要和我交流吧 高效、高质量、价格便宜",🟠,画画的北北,广东,2026-06-08,https://www.goofish.com/item?id=1056750890179
45,162,799,"Codex 入门实战陪跑（1个月） # Codex 入门实战陪跑（1个月）  价格：799元  想把Codex用起来，却总卡在环境、方法和实操环节？智业工坊用1个月带你从基础上手到任务实践，按清晰路径学习，有问题及时答疑，避免一个人反复试错。  ## 服务内容  1. 环境排错、工具安装与基础配置 2. 核心使用方法和日常效率技巧 3. 常用Skills扩展与插件练习 4. 精选案例讲解，练习需求与任务拆分 5. 结合个人实际任务进行实操辅导 6. 持续答疑、阶段检查和学习复盘  ## 四步学习路径  - 第一步：处理环境问题，完成安装 - 第二步：掌握核心方法，建立正确用法 - 第三步：练习Skills扩展，提升能力 - 第四步：完成真实任务，答疑并复盘  ## 学员要求  愿意投入时间学习，有真实使用需求，能说清楚自己希望解决的问题。适合新手、职场人和希望尝试AI实操的个体创业者。  ## 服务须知  商品为1个月线上指导和实战陪跑，不提供账号售卖，也不包含完整软件项目代做。第三方平台或资源产生的费用需自行承担。学习成果与个人投入和任务复杂度有关，不做收益承诺。",🟠,智业工坊,北京,2026-07-29,https://www.goofish.com/item?id=1071654372540
46,162,1,"最新Ai人声音高节奏修正插件 DoublePi Vovious 持续更新！一键安 装！支持 WiN/MAC 一键安装告别繁琐！ （自动秒拍秒发！粉丝福利！关注后购买自动改为0.5元） Vovious的必备工具提供了用于改变音高、斜率、颤音、共振峰和音符振幅的高级控制功能。  音高绘制：打击垫绘制模式允许你在打击垫上绘制任何内容。  临时音符：临时音符让你能够轻松进行微观层面的修改。你可以指定开始和结束位置。  时序：编辑歌曲时序时，垂直线的颜色显示音符与节拍的关系。  齿音编辑：Vovious 允许你编辑齿音、噪音和呼吸声（由波形上的深色区域指示）的振幅。  ARA插件扩展  在兼容ARA的数字音频工作站（DAW）中，Vovious会立即接收你的人声轨道，并追踪你在数字音频工作站中对片段所做的更改。即使是播放控制、循环、节奏和速度方面的变化也能实现同步。  音阶检测  Vovious会自动检测你的人声录音的调。你可以使用这个调来调整音符，还可以选择显示相应的颜色。  MIDI参考调音 如果您已有MIDI格式的人声旋律，只需将MIDI文件拖放到Vovious中即可导入。现在，您可以使用此参考来调整音符。  撤销/重做菜单  撤销/重做菜单允许你逐步浏览编辑内容，并一次性撤销/重做多个操作。与循环功能结合使用时，你可以轻松比较编辑前后的声音。  多轨编辑  Vovious 允许你在一个窗口中编辑多个轨道。你可以使用 TrackSwitcher 在轨道之间切换。其他轨道可以在你的数字音频工作站（DAW）中通过轨道颜色作为参考显示。这些颜色能帮助你了解哪些音符属于哪个轨道。  神经网络音高检测  精确的音高检测对于完美的人声调音至关重要。Vovious采用先进的神经网络技术，无需使用云服务即可获得最佳效果。所有计算都在您的计算机上进行，且数据仅留存于本地。  全天候工作流程 您可以轻松调整Vovious用户界面的亮度，以适应一天中任何时间的需求。一个不错的额外好处是：通过调整亮度，您可以使Vovious与您的数字音频工作站（DAW）的配色方案相匹配。  支持:VST3 ARA AU",🟢,这是一朗朗上口的昵称啊,内蒙古,2026-01-05,https://www.goofish.com/item?id=1010743380059
47,157,2,"AI详情页全套实操教程 AI电商详情页全套实操教程，主流AI工具高质量快速出图，商品详情页、带货短视频一站式搞定！ 操作门槛低，零基础小白上手无压力。  内含亚马逊跨境专属详情页模板指令，实测全部跑通，大幅节省作图时间。 模板支持二次爆改，淘宝、拼多多等多平台通用，到手直接套用，不用自己找模板反复调试，省心又省力！  网盘资源自动发货，虚拟资料一经发出不退不换，有疑问直接私聊～",🟢,陪你吹吹风,上海,2026-07-06,https://www.goofish.com/item?id=1062690963093
48,156,1499,"AI Agent 收徒实战陪跑（1个月） # AI Agent 收徒实战陪跑（1个月）  价格：1499元  想把AI智能体用到真实工作，却不知道从工具选择、流程设计还是智能体搭建开始？明远AI提供1个月实战陪跑，以公司真实项目案例为基础，帮助你建立从需求分析到结果复盘的完整落地方法。  ## 培养内容  1. AI智能体基础认知、能力边界与场景判断 2. 真实业务需求梳理与任务拆解方法 3. 工作流设计、节点编排及异常处理思路 4. 知识库规划、资料整理和调用逻辑 5. AI智能体搭建、调试、测试与持续优化 6. 结合个人真实问题进行1V1答疑和阶段复盘  ## 30天实战路径  - 第1周：明确场景，掌握核心方法 - 第2周：拆解任务，设计业务工作流 - 第3周：搭建智能体并完成测试 - 第4周：结合真实任务实战、校验与复盘  ## 适合人群  - 希望用AI智能体提升效率的职场人 - 有明确业务场景、准备推动AI落地的创业者 - 想系统学习智能体方案设计与交付方法的人  ## 服务说明  本商品为线上教学、咨询和实战陪跑服务，不等同于完整项目外包。第三方账号、接口、服务器及相关资源费用不包含在服务费内。实际成果取决于需求清晰度、投入时间和执行情况，不承诺收入或固定经营结果。",🟠,明远AI,北京,2026-07-29,https://www.goofish.com/item?id=1068829247580
49,145,1.66,"即梦Seedance2.0视频代生成 即梦 Seedance 2.0 视频代生成  短视频 ，剧情动画，都可以做。 充了一年会员，过了退款次数，便宜生成  AI 本身有随机性，细节无法保证百分百完美。 开始生成默认接受，不退不改。",🔴,努力小言,广东,2026-04-06,https://www.goofish.com/item?id=1041666536015
50,140,9.90,"纳米香蕉 2&pro生图4K⚡纳米banana 2&pro生 图 次卡  24h自动发货，平板/电脑/手机/多端可用，送900+提示词案例，每日更新  ⚡无时间限制，积分不过期，高并发，支持批量生成 10万积分按次扣费 无会员费 无平台使用费 纳米 banana 440元/次（可生227张） 纳米 banana2 1200元/次（可生83张） 纳米 banana pro 1800元/次（可生55张） （三种模型1k/2k/4k同价）  三种模型可混用，按需选择  注意：非单独api，非gemin官网，是大香蕉的使用次数 注意：请规范使用，严禁制作及传播违法违规内容，一经查实，直接封禁账号  虚拟商品，拍下不退/概不退换",🟢,小闲咸咸,四川,2026-04-10,https://www.goofish.com/item?id=1040650923876
